Root,Level 1,Level 2,Level 3
Is there a Cancer patient in the notes? Answer YES or NO,"Does this patient's clinical notes have any Human Specimen information in it, answer YES or NO", What is the human specimen Identifier? It is the ID for the specimen taken from the patient for analysis. It is most likely not the name of the patient or the tumour identifier.,
,,What is the anatomical location from where the human specimen is collected?,
,,"What is the kind of specimen being collected (e.g., tissue, fluid)?",
,what is the Name of the patient?,,
,"what is the Contact Info of the patient? It can be phone numbers, emails, etc.",,
,what is the Birth Date of the patient?,,
,what is the Gender of the patient?,,
,what is the Zip Code of the patient?,,
,"what is the US Core Race of the patient? Only choose from the following: American Indian or Alaska Native, Asian, Black or African American, Native Hawaiian or Other Pacific Islander, White. Say N/A if it's none of the above.",,
,what is the US Core Birth Sex of the patient?,,
,what is the US Core Ethnicity of the patient?,,
,"What is the death date of the patient, if applicable?",,
,"Is there any update or note regarding the patient's current disease status?, answer YES or NO",what is the disease status Evidence Type? It is a categorization of the evidence type contributing to a clinical judgment on cancer progression.,
,"Are there any clinical notes detailing the patient's tumor(s)?, answer YES or NO","What is the tumor Identifier? It should be a stable identifier(s) for this specific tumor (globally unique within the patient context), and it is usually not the name or the human specimen identifier.",
,,What is the anatomical body site where the tumor is located?,
,,Are there any Tumor Size information?,what is the longest Dimension of the tumor? Include the unit of measurement.
,,,"Additional orthogonal dimension of the tumor, if applicable. Include the unit of measurement."
,"Does the clinical documentation describe the patient's primary cancer condition?, answer YES or NO","Is ther any Cancer Stage information in the notes?, answer YES or NO","Identify the cancer staging classification system that was used other than TNM or lymphoma staging. Look for an explicit reference to a staging system such as FIGO (gynecologic), Binet or Rai (leukemia), Breslow Depth or Clark Level (melanoma), ISS or RISS (myeloma), INSS or INRGSS (neuroblastoma), Gleason Grade (prostate), Rhabdomyosarcoma Clinical Group, or Wilms Tumor staging."
,,,"Only populate if the cancer is lymphoma. What is the staging of lymphoma (both Hodgkins and Non-Hodgkins) by Ann Arbor, Cotswold, or Lugano staging systems? Also report the specific staging system used."
,,,What is the T-category of the TNM staging system?
,,,What is the N-category of the TNM staging system?
,,,What is the M-category of the TNM staging system?
,,,"If the Staging Method is detected/populated with a staging system that is not TNM or one of the lymphoma systems, populate this field with the stage type in that system."
,,what is the Asserted Date of the primary cancer?,
,,what is the Histology or Morphology of the primary cancer?,
,,"What is the anatomical location where the primary cancer manifests itself. Includes the laterality; as in, qualifier to refine the anatomical location, e.g. left vs right.",
,"Records the history of secondary neoplasms, including location(s) and the date of onset of metastases. A secondary cancer results from the spread (metastasization) of cancer from its original site.",,
,"Are there results or mentions of any tumor marker tests in the clinical notes?, answer YES or NO","The name of the clinical test or procedure performed on a patient. A tumor marker is a substance found in tissue or blood or other body fluids that may be a sign of cancer or certain benign (non-cancer) conditions. Most tumor markers are made by both normal cells and cancer cells, but they are made in larger amounts by cancer cells. A tumor marker may help to diagnose cancer, plan treatment, or find out how well treatment is working or if cancer has come back. Examples of tumor markers include CA-125 (in ovarian cancer), CA 15-3 (in breast cancer), CEA (in colon cancer), and PSA (in prostate cancer). Tumor markers differ from genomic markers in that they are measured at the levels of the protein and substance post-RNA protein synthesis.",
,,what is the Tumor Marker test Result Value,
,"Is there a request for cancer-related medications in the patient's notes?, answer YES or NO","What is the medication that was ordered/requested, specifically for cancer-related treatment?",
,,What is the reason for ordering/requesting the medicine above?,
,,what is the Procedure Intent of the Cancer-related Medication Request,
,,what is the Satus Reason of the Cancer-related Medication Request,
,"Are there records of any cancer-related medications being administered to the patient?, answer YES or NO","What is the medication that was administered, specifically for cancer-related treatment?",
,,What is the reason for administering the medicine above?,
,,what is the Procedure Intent of the Cancer-Related Medication Administration,
,,what is the Status Reason of the Cancer-Related Medication Administration,
,"Does the clinical record mention any procedures related to the patient's cancer?, answer YES or NO","The cancer-related surgical procedure being performed. Use a text description of the procedure, such as ""left mastectomy"" or ""right hemicolectomy"".",
,,"Detailed anatomical location information of the surgical procedure, if applicable. Include the laterality and location. Sometimes the information may be implied. For example, a left mastectomy implies the body site is the left breast.",
,"Is there a summary or detail about any radiotherapy courses the patient underwent?, answer YES or NO","If radiotherapy is administered, what is the number of sessions in the course?",
,,"What is the modality of the radiotherapy course (e.g., photon beams at what energy, electron beams, brachytherapy)?",
,,"What is the technique used in the radiotherapy course (e.g., IMRT, VMAT, 3D conformal, SBRT)?",
,,What is the total dose delivered in the radiotherapy course?,
,,What is the anatomical site where the radiotherapy was administered?,
,,What is the number of fractions delivered in the radiotherapy course?,
,,"What is the type of volume that received the radiotherapy (e.g., PTV, CTV, GTV)?",
,,What is the body volume that received the radiotherapy course?,
,What is the patient history of metastatic cancer?,,
,what are the comorbidities the patient has?,,
,"Is there a genomic report included or mentioned in the patient's clinical notes?, answer YES or NO",what is the Remonic Variant in the Genomic report ,
,,what is the Genomic Region Studied in the Genomic report,
,"Does the clinical record discuss specific genomic variants?, answer YES or NO",what is the Variation Code of the Genomic Variant,
,,what is the Genomic HGVS of the Genomic Variant,
,,what is the Coding Change Type of the Genomic Variant,
,,what is the Protein HGVS of the Genomic Variant,
,,what is the Amino Acid Change Type of the Genomic Variant,
,,what is the Molucular Consequence of the Genomic Variant,
,,what is the Cytogen Nomemclature of the Genomic Variant,
,,what is the Gene Studied of the Genomic Variant,
,,what is the Genomic Source Class of the Genomic Variant,
,,what is the Copy Number of the Genomic Variant,
,,what is the Allelic Frequency of the Genomic Variant,
,,what is the Allelic State of the Genomic Variant,
,,what is the Cytogenetic Location of the Genomic Variant,
,"Are specific genomic regions studied and mentioned in the patient's notes?, answer YES or NO",what is the Gene Mutations of the Genomic Region Studied,
,,what is the Gene Studied of the Genomic Region Studied,
,,what is the Coordinate System of the Genomic Region Studied,
,,what is the Ranges Examined of the Genomic Region Studied,
,,what is the Region Description of the Genomic Region Studied,
,,what is the Reference Sequence of the Genomic Region Studied,
